STATE,DATE,SITE_ID,SITE_NAME,SITE_LOCATION,SIZE_OF_WOODED_AREA_ACRES,%ASH,OVERSTORY_DOMINANT_SPECIES,OVERSTORY_2ND_MOST_ABUNDANT,OVERSTORY_3RD_MOST_ABUNDANT,EAB_DENSITY,COMMENTS,STATUS,USER_ID,ORIGIN,POINT_X,POINT_Y,PLOT_TYPE,SITE_ID_OF_PAIR_RC,TOPOGRAPHIC POSITION,FLOODING,DEGREE_OF_ISOLATION
Michigan,"8/23/2011, 8:00 PM","1,779",Strazanac Farm,"504 East Hayes Road, Ithaca, MI",2,75%,green ash,green ash,green ash,Medium,,Approved,juligould,Research,-84.59,43.22,Release,,Level,Dry all year,Isolated
Michigan,"4/30/2011, 8:00 PM","1,762",DHMPK,Dexter-Huron Metropark,120,<25%,green ash,elm,boxelder,Medium,,Approved,lsbauer,Program,-83.86,42.33,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2011, 8:00 PM","1,759",PNKSL,Pinckney Recreation Area at Silver Lake,400,<25%,green ash,elm,boxelder,Medium,elevation estimated,Approved,lsbauer,Research,-83.97,42.42,Release,"2,110",Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2011, 8:00 PM","1,763",WMPKN,Willow Metropark North,500,<25%,green ash,elm,boxelder,Medium,elevation estimate,Approved,lsbauer,Research,-83.38,42.14,Release,"2,107",Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2011, 8:00 PM","1,761",PHMAS,Phyllis Haenhle Memorial Audubon Sanctuary,400,<25%,green ash,elm,boxelder,Medium,,Approved,lsbauer,Program,-84.29,42.33,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/20/2012, 8:00 PM","2,092",ROG_SGAN,Rogue River SGA,500,50%,aspen/poplar,black ash,other birch,Medium,Black and green ash moderately to heavily infested with EAB.,Approved,lsbauer,Program,-85.69,43.25,Release,,Lower slope,Wet all year,Connected to other woodlots
Michigan,"7/20/2012, 8:00 PM","2,093",ROG_SGA,Rogue River SGA,500,50%,aspen/poplar,black ash,other birch,Medium,Black and green ash in floodplain along the Rouge River. EAB infestations mod to high.,Approved,lsbauer,Program,-85.7,43.25,Release,,Level,Wet all year,Connected to other woodlots
Michigan,"7/25/2012, 8:00 PM","2,095",ALLSGA2,Allegan State Game Area near Big Goose Hole,"2,000.00",50%,green ash,elm,walnut,Medium,"Heavily EAB-infested black ash (some dead), moderately infested green ash along the Kalamazoo River.",Approved,lsbauer,Program,-86,42.61,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/3/2012, 8:00 PM","2,097",FRSGA_R,Flat River State Game Area,100000%,50%,black ash,cottonwood,other oak,High,Heavily EAB-infested black ash (many dead) in swamp along Dickerson Creek. Lightly infested white ash in adjacent woods.,Approved,lsbauer,Program,-85.14,43.13,Release,,Level,Wet all year,Connected to other woodlots
Michigan,"7/13/2012, 8:00 PM","2,098",PLSGA,Portland State Game Area,"1,000.00",50%,aspen/poplar,walnut,hickory,High,"White and green ash with moderate to heavy EAB infestation upland with seasonally wet patches, heavy soil along the Grand River.",Approved,lsbauer,Program,-84.93,42.81,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/26/2007, 8:00 PM","2,104",SL,Seven Lakes,999,<25%,other species,other species,other species,Medium,Physical Site Characteristics are nor accurate and need to be updated by Juli Gould. TCP 08_15_2012,Approved,juligould,Research,-83.66,42.82,Release,"4,778",Upper slope,Seasonally wet,Isolated
Michigan,"8/15/2012, 8:00 PM","2,102",HNFE,Huron Manistee National Forest East,"5,000.00",50%,black ash,spruce,alder,Medium,Released by Karlis Lazda Zone Silviculturist Huron-Manistee National Forest Mio Ranger District 989-826-3252 ex 3332,Approved,lsbauer,Program,-83.46,44.58,Release,,Lower slope,Seasonally wet,Connected to other woodlots
Michigan,"8/15/2012, 8:00 PM","2,101",TOPH,Trilogy Organics in Port Hope,23,75%,green ash,elm,other maple,Medium,,Approved,lsbauer,Program,-82.72,43.95,Release,,Upper slope,Wet all year,Isolated
Michigan,"7/22/2010, 8:00 PM",57,BI,Belle Isle,500,25%,other maple,green ash,other oak,Low,Aftermath forest area with threatened & species of concern: pumpkin ash and Shumard oak.,Approved,lsbauer,Program,-82.97,42.34,Release,,Level,Seasonally wet,Isolated
Michigan,"8/7/2010, 8:00 PM",58,Kronke Site,Houghton,49,75%,green ash,alder,cottonwood,High,,Approved,AStorer,Research,-88.46,47.23,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM",59,Tecumseh Site,Houghton,25,75%,green ash,alder,other species,High,,Approved,AStorer,Research,-88.47,47.22,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM",60,N Electric Park,Houghton,163,50%,green ash,black ash,alder,High,,Approved,AStorer,Research,-88.47,47.22,Release,,Level,Dry all year,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM",61,Delta Co. Park Site,Delta Schoolcraft,"999,999.00",100%,other species,other species,other species,High,"OB_DATE NULL now 1/1/1970, ELEVATION NULL now -1, ASPECT NULL now -1, TOPOGRAPHIC_POSITION NULL now Level, FLOODING NULL now Dry, DEGREE_ISOLATION NULL now Isolated",Approved,AStorer,Research,-86.56,45.91,Release,,Level,Dry all year,Isolated
Michigan,"8/7/2010, 8:00 PM",62,State Land Powerline,Delta Schoolcraft,"999,999.00",100%,other species,other species,other species,High,"OB_DATE NULL now 1/1/1970, ELEVATION NULL now -1, ASPECT NULL now -1, TOPOGRAPHIC_POSITION NULL now Level, FLOODING NULL now Dry, DEGREE_ISOLATION NULL now Isolated",Approved,AStorer,Research,-86.51,45.87,Release,,Level,Dry all year,Isolated
Michigan,"4/30/2011, 8:00 PM","1,760",WLPLK,Waterloo Recreation Area at Portage Lake,40000%,<25%,green ash,elm,boxelder,Medium,elevation estimate,Approved,lsbauer,Research,-84.24,42.34,Release,"4,985",Level,Seasonally wet,Connected to other woodlots
Michigan,"7/23/2011, 8:00 PM","1,742",GBL,"Gary Bauer private landowner, Alcona Co.",80,75%,white ash,basswood,beech,Medium,,Approved,lsbauer,Program,-83.57,44.65,Release,,Middle slope,Seasonally wet,Connected to other woodlots
Michigan,"9/20/2011, 8:00 PM","1,796",SLHSP,Sleepy Hollow State Park,200000%,75%,green ash,white ash,other oak,High,,Approved,lsbauer,Research,-84.41,42.95,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/25/2007, 8:00 PM","1,803",MSUDR,Michigan State University Dobie Reserve,50000%,75%,other oak,cottonwood,other maple,High,,Approved,lsbauer,Program,-84.41,42.7,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"9/3/2011, 8:00 PM","1,795",HMMPK,Hudson Mills Metropark,50000%,<25%,other oak,cottonwood,other maple,Low,,Approved,lsbauer,Program,-83.91,42.39,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"9/22/2011, 8:00 PM","1,801",CRPK,Crego Park,500,75%,other oak,cottonwood,other maple,High,,Approved,lsbauer,Research,-84.52,42.72,Release,"3,195",Level,Wet all year,Connected to other woodlots
Michigan,"9/22/2011, 8:00 PM","1,799",FPK,Francis Park,20000%,<25%,other oak,cottonwood,other maple,Low,,Approved,lsbauer,Program,-84.59,42.72,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/15/2011, 8:00 PM","1,797",DVSGA,Dansville State Game Area,"1,000.00",50%,green ash,black ash,other oak,High,elevation estimate,Approved,lsbauer,Program,-84.34,42.52,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/30/2011, 8:00 PM","1,758",ASWCR,Au Sable State Forest Wolf Creek & Old 27,40000%,50%,black ash,green ash,elm,Medium,,Approved,lsbauer,Research,-84.79,44.21,Release,,Middle slope,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",37,IO_C,Ionia State Rec Area Control,"9,999.00",,,,,,,Approved,JGould,Research,-85.11,42.96,Control,32,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",32,ION,Ionia State Recreation Area non-girdled,"9,999.00",,,,,,"OB_DATE NULL now 1/1/1970, ELEVATION NULL now -1, ASPECT NULL now -1, TOPOGRAPHIC_POSITION NULL now Level, FLOODING NULL now Dry, DEGREE_ISOLATION NULL now Isolated",Approved,JGould,Research,-85.12,42.96,Release,37,Level,Dry all year,Isolated
Michigan,"11/30/2011, 7:00 PM",33,IOG,Ionia State Recreation Area girdled,"9,999.00",,,,,,"OB_DATE NULL now 1/1/1970, ELEVATION NULL now -1, ASPECT NULL now -1, TOPOGRAPHIC_POSITION NULL now Level, FLOODING NULL now Dry, DEGREE_ISOLATION NULL now Isolated",Approved,JGould,Research,-85.12,42.96,Release,,Level,Dry all year,Isolated
Michigan,"8/27/2007, 8:00 PM",21,sr_C,Shiawaseee State Game Area Control,"9,999.00",,,,,,,Approved,JGould,Research,-84.07,43.36,Control,22,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",23,GSE,Gratiot-Saginaw State Game Area East,"9,999.00",,,,,,,Approved,JGould,Research,-84.37,43.22,Release,24,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",24,GSE_C,Gratiot-Saginaw State Game Area East Control,"9,999.00",,,,,,,Approved,JGould,Research,-84.4,43.25,Control,23,Level,Seasonally wet,Connected to other woodlots
Michigan,"6/28/2010, 8:00 PM",54,MRE,Maple River State Game Area,"9,999.00",,,,,,"This site characterisitics needs to be updated, this was created for Leah via database level. TCP 09_08_2015",Approved,JDuan,Research,-84.55,43.14,Release,,Level,Dry all year,Isolated
Michigan,"6/16/2010, 8:00 PM",55,RL,Rose Lake State Game Area,"9,999.00",,,,,,Life Table Study site started in 2010,Approved,lsbauer,Research,-84.35,42.82,Release,"4,779",Level,Seasonally wet,Connected to other woodlots
Michigan,"9/8/2009, 8:00 PM",56,KS,Kensington Metropark,"9,999.00",,,,,,aftermath forests,Approved,lsbauer,Program,-83.67,42.53,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/5/2007, 8:00 PM","1,793",CPNMLT_C,Central Park-Nancy Moore Parks Meridian Township LT Control,"9,999.00",,,,,,,Approved,lsbauer,Research,-84.42,42.74,Control,"1,769",Upper slope,Seasonally wet,Connected to other woodlots
Michigan,"6/25/2008, 8:00 PM","1,798",BFPKLT_C,Burchfield Ingham County Park LT Control,"9,999.00",,,,,,This site was based off of 2008 Historic data so an educated guess was made for flooding and degree of isolation. TCP,Approved,lsbauer,Research,-84.6,42.58,Control,"1,773",Upper slope,Seasonally wet,Connected to other woodlots
Michigan,"6/25/2008, 8:00 PM","1,810",MSUTRC_C,Ingham,"9,999.00",,,,,,,Approved,lsbauer,Program,-84.48,42.67,Control,"1,802",Middle slope,Seasonally wet,Isolated
Michigan,"7/15/2008, 8:00 PM",31,MR,Maple River State Game Area at Tallman Rd,"9,999.00",,,,,,Green & some black ash in Maple River floodplain. EAB densities low -- exit holes in dying black ash. Green with few woodpecks showing but still looked healthy in 2008.,Approved,lsbauer,Research,-84.77,43.09,Release,30,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/15/2008, 8:00 PM",30,MR_C,Maple River State Game Area at Tallman Rd.,"9,999.00",,,,,,,Approved,lsbauer,Research,-84.76,43.09,Control,31,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/20/2008, 8:00 PM","1,830",SLW,Seven Lakes State Park,"999,999.00",<25%,other species,other species,other species,Low,"Some surviving white ash, perhaps due to use of this park for several insecticide treatment studies when EAB populations peaked.",Approved,lsbauer,Research,-83.66,42.82,Release,,Level,Seasonally wet,Isolated
Michigan,"7/23/2008, 8:00 PM","1,837",Lost,Michigan 2008 Historic Data,"999,999.00",50%,green ash,green ash,green ash,Medium,Site was abandoned as ash trees had died at this site by 2008. No releases were done.,Approved,lsbauer,Research,-84.48,41.83,Release,"1,852",Middle slope,Seasonally wet,Isolated
Michigan,"6/16/2010, 8:00 PM","2,105",RL_C,Rose Lake State Game Area,"9,999.00",,,,,,2010 Life Table Site,Approved,lsbauer,Research,-84.34,42.82,Control,55,Level,Seasonally wet,Connected to other woodlots
Michigan,"6/30/2012, 8:00 PM","2,107",WMPKN_C,Lower Huron Metropark,"9,999.00",,,,,,Control plot for release plots in Willow Metropark,Approved,lsbauer,Research,-83.42,42.17,Control,"1,763",Level,Seasonally wet,Connected to other woodlots
Michigan,"6/30/2011, 8:00 PM","2,108",LKEMP_C,Oakwoods Metropark,"9,999.00",,,,,,Control plot for release plot at Lake Erie Metropark,Approved,lsbauer,Research,-83.31,42.1,Control,"1,765",Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2008, 8:00 PM","1,804",LPRFLT_C,Legg Pk-Riverfront Pk Meridian Township LT Control,"9,999.00",,,,,,,Approved,lsbauer,Research,-84.38,42.7,Control,"1,770",Upper slope,Seasonally wet,Connected to other woodlots
Michigan,"6/13/2012, 8:00 PM","2,029",Munn,Munn Park,"9,999.00",,,,,,300 oob total for this site 06_14_2012,Approved,lsbauer,Program,-84.52,42.69,Release,,Upper slope,Dry all year,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",12,dfn_C,DeFord State Gamer Area Control,"9,999.00",,,,,,,Approved,JGould,Research,-83.25,43.49,Control,11,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",11,dfn,DeFord State Game Area Non-girdled,"9,999.00",,,,,,,Approved,JGould,Research,-83.25,43.49,Release,12,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",10,dfg,DeFord State Game Area Girdled,"9,999.00",,,,,,,Approved,JGould,Research,-83.23,43.5,Release,,Level,Dry all year,Isolated
Michigan,"11/30/2011, 7:00 PM",13,tunn,Tuscola State Game Area North Non-girdled,"9,999.00",,,,,,"OB_DATE NULL now 1/1/1970, ELEVATION NULL now -1, ASPECT NULL now -1, TOPOGRAPHIC_POSITION NULL now Level, FLOODING NULL now Dry, DEGREE_ISOLATION NULL now Isolated",Approved,JGould,Research,-83.33,43.45,Release,15,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",14,tung,Tuscola State Game Area North Girdled,"9,999.00",,,,,,,Approved,JGould,Research,-83.36,43.45,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",17,tusg,Tuscola State Game Area South Girdled,"9,999.00",,,,,,,Approved,JGould,Research,-83.36,43.43,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",15,tunn_C,Tuscola State Game Area North Control,"9,999.00",,,,,,,Approved,JGould,Research,-83.38,43.45,Control,13,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",18,tusn,Tuscola State Game Area South Non-girdled,"9,999.00",,,,,,,Approved,JGould,Research,-83.37,43.44,Release,16,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",16,tusn_C,Tuscola State Game Area South Control,"9,999.00",,,,,,,Approved,JGould,Research,-83.34,43.43,Control,18,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/30/2008, 8:00 PM",20,AS_C,Au Sable State Forest near Sanford Lake,"9,999.00",,,,,,,Approved,JGould,Research,-84.43,43.73,Control,19,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/30/2008, 8:00 PM",19,AS_R,Au Sable State Forest near Sanford Lake,"9,999.00",,,green ash,basswood,,,Approved,JGould,Research,-84.41,43.72,Release,20,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/27/2007, 8:00 PM",22,sr,Shiawassee State Game Area Release,"9,999.00",,,,,,,Approved,JGould,Research,-84.11,43.34,Release,"3,086",Level,Seasonally wet,Connected to other woodlots
Michigan,"4/30/2010, 8:00 PM",26,GSW_C,Gratiot-Saginaw State Game Area West,"9,999.00",,,,,,null,Approved,lsbauer,Research,-84.45,43.21,Control,25,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",28,MR2N,Maple River State Game Area 2 Non-girdled,"9,999.00",,,,,,,Approved,lsbauer,Research,-84.66,43.13,Release,27,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",27,MR2_C,Maple River State Game Area 2 Control,"9,999.00",,,,,,,Approved,lsbauer,Research,-84.65,43.13,Control,28,Level,Seasonally wet,Connected to other woodlots
Michigan,"11/30/2011, 7:00 PM",29,MR2G,Maple River State Game Area 2 Girdled,"9,999.00",,,,,,,Approved,lsbauer,Research,-84.7,43.12,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM","1,895",North GMO,Houghton Michigan,28,50%,green ash,alder,other species,High,,Approved,bfeldt,Program,-88.45,47.22,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM","1,897",Gale,Houghton Michigan,71,50%,green ash,alder,cedar,High,,Approved,bfeldt,Program,-88.46,47.2,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM","1,899",Rastello,Houghton Michigan,163,50%,green ash,alder,elm,Medium,,Approved,bfeldt,Program,-88.47,47.21,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM","1,900",Pit,Houghton Michigan,57,75%,white ash,green ash,sugar maple,Medium,,Approved,bfeldt,Program,-88.49,47.18,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM","1,901",Turpeinen,Houghton Michigan,48,50%,green ash,black ash,alder,Medium,,Approved,bfeldt,Program,-88.5,47.16,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM","1,902",Gas Plant,Houghton Michigan,139,75%,green ash,sugar maple,alder,Medium,,Approved,bfeldt,Program,-88.43,47.23,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/18/2011, 8:00 PM","1,947",Sharp,Shap,"999,999.00",100%,other species,other species,other species,Medium,Physical Site Characteristics are not accurate and need to be updated. TCP 05_21_2012,Approved,bfeldt,Program,-86.56,45.81,Release,,Middle slope,Dry all year,Isolated
Michigan,"8/23/2011, 8:00 PM","1,951",State of Mi,Delta Schoolcraft,"999,999.00",100%,other species,other species,other species,High,Physical Site Characteristics are not accurate and need to be updated. TCP 05_21_2012,Approved,bfeldt,Program,-86.47,45.9,Release,,Middle slope,Seasonally wet,Isolated
Michigan,"8/31/2011, 8:00 PM","2,018",Plum Creek,Plum Creek,"999,999.00",100%,other species,other species,other species,Low,Physical site characteristics are not accurate and need to be updated. TCP 05_23_2012,Approved,ahcollin,Program,-86.46,45.88,Release,,Upper slope,Seasonally wet,Isolated
Michigan,"8/31/2011, 8:00 PM","2,020",Gravel Pit,Gravel Pit,"999,999.00",<25%,other species,other species,other species,Low,The physical site characteristics are not accurate and need to be updated. TCP 05_24_2012,Approved,ahcollin,Program,-86.64,45.89,Release,,Upper slope,Seasonally wet,Isolated
Michigan,"8/30/2011, 8:00 PM","1,957",Shauger Hill,South East of Scenic Drive,38,25%,beech,green ash,red maple,Low,This is for the 2011 release.,Approved,SLBENRM,Program,-86.04,44.85,Release,,Upper slope,Dry all year,Connected to other woodlots
Michigan,"6/3/2009, 8:00 PM","2,103",JA,Jasper,999,25%,other species,other species,other species,Low,"Jasper is located east of Shepherd MI in the Au Sable State Forest, Gladwin FMU. EAB biocontrol releases were done in conjunction with an ongoing study by McCullough & Poland at this site.",Approved,lsbauer,Program,-84.56,43.54,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/31/2012, 8:00 PM","2,115",HIANFMA,Hiawatha National Forest Manistique,"50,000.00",50%,green ash,black ash,aspen/poplar,Medium,,Approved,lsbauer,Program,-86.61,45.95,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/8/2012, 8:00 PM","2,114",HIANFM,Hiawatha National Forest Munising,"50,000.00",50%,green ash,black ash,aspen/poplar,Low,"In 2012 & 2013, Oobius were released as adults at a rate of 20 to 40 adults/tree. Tet were released from ash bolts for self-emergence.",Approved,lsbauer,Program,-86.67,46.43,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"9/8/2009, 8:00 PM","2,133",IsLakeA,"Island Lake State Park, Brighton, MI",100,<25%,black locust,aspen/poplar,boxelder,Low,"Huron River, lakes, swamps provide some seasonally wet areas with green ash.",Approved,jplelito,Research,-83.69,42.51,Release,,Level,Dry all year,Connected to other woodlots
Michigan,"9/15/2009, 8:00 PM","2,134",IsLakeB,"Island Lake State Park, Brighton, MI",100,25%,boxelder,other species,green ash,Low,"Huron River, lakes, swamps provide some seasonally wet areas with green ash.",Approved,jplelito,Research,-83.67,42.51,Release,,Middle slope,Dry all year,Connected to other woodlots
Michigan,"9/2/2010, 8:00 PM","2,135",IsLakeC,"Island Lake State Park, Brighton, MI",100,<25%,boxelder,black locust,other species,Low,"Huron River, lakes, swamps provide some seasonally wet areas with green ash.",Approved,jplelito,Research,-83.7,42.5,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"8/26/2007, 8:00 PM",25,GSW,Gratiot-Saginaw State Game Area West,"1,000.00",50%,green ash,red maple,,Medium,,Approved,lsbauer,Research,-84.45,43.23,Release,26,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/23/2008, 8:00 PM","1,852",Lost_C,Ingham,"9,999.00",,,,,,Site abandoned: ash trees were dead by 2008 so no releases were done here,Approved,lsbauer,Research,-84.5,41.83,Control,"1,837",Middle slope,Dry all year,Isolated
Michigan,"6/30/2011, 8:00 PM","2,109",WLPLK_C,Waterloo State Recreation Area,"9,999.00",,,,,,Control plot for Waterloo release plot,Approved,lsbauer,Research,-84.1,42.33,Control,"1,760",Level,Dry all year,Connected to other woodlots
Michigan,"6/30/2012, 8:00 PM","2,110",PNKSL_C,Pinckney State Recreation Area,"9,999.00",,,,,,control plot for release plots at Pinckney Rec Area and Phyllis Haenle Audubon Preserve.,Approved,lsbauer,Research,-84.06,42.39,Control,"1,759",Level,Seasonally wet,Connected to other woodlots
Michigan,"8/7/2010, 8:00 PM","1,898",South GMO,Houghton Michigan,163,50%,green ash,white ash,sugar maple,Medium,,Approved,bfeldt,Program,-88.47,47.21,Release,,Level,Seasonally wet,Connected to other woodlots
Michigan,"7/22/2012, 8:00 PM","2,010",Otter Creek/Platte Plains,"Platte Plains trailhead, Benzie County, MI, Sleeping Bear Dunes National Lakeshore",3,25%,white ash,red maple,yellow birch,Low,,Approved,SLBENRM,Program,-86.06,44.76,Release,,Level,Wet all year,Connected to other woodlots
Michigan,"8/12/2012, 8:00 PM","1,983",Old Indian Trail,"North East of the trailhead located in a wetland, Benzie County, Sleeping Bear Dunes National Lakeshore",0.5,50%,black/red oak,black ash,hemlock,Medium,,Approved,SLBENRM,Program,-86.18,44.7,Release,,Level,Wet all year,Connected to other woodlots
