STATE,SITE_NAME,SITE_NAME,RELEASE_DATE,RELEASE_TIME,WEATHER_CONDITIONS,APPROXIMATE_WIND_SPEED,AMBIENT_TEMPERATURE_F,#_OOBIUS_RELEASED,#_SPATHIUS_RELEASED,#_TETRASTICHUS_RELEASED,#_OTHER_SPECIMEN_RELEASED,COMMENTS,ORIGIN,POINT_X,POINT_Y,STAGE_OOBIUS_RELEASED,STAGE_SPATHIUS_RELEASED,STAGE_TETRASTICHUS_RELEASED,STAGE_OTHER_SPECIMEN_RELEASED,COUNT_SGALINAE_RELEASED,STAGE_SGALINAE_RELEASED
Michigan,14,tung,"7/11/2011, 8:00 PM",11:00 AM,Sunny,Light,88,100,200,200,,,Research,-83.36,43.45,,,,,,
Michigan,13,tunn,"6/27/2011, 8:00 PM",11:00,Partly cloudy,Moderate,74,100,200,200,,,Research,-83.33,43.45,,,,,,
Michigan,13,tunn,"7/11/2011, 8:00 PM",11:00,Sunny,Light,88,100,200,200,,,Research,-83.33,43.45,,,,,,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1300,Partly cloudy,Light,75,38,100,0,0,,Research,-84.41,42.95,Adult,Adult,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1630,Partly cloudy,Moderate,75,50,0,0,0,,Research,-84.41,42.95,Adult,,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1600,Partly cloudy,Moderate,75,29,0,0,0,,Research,-84.41,42.95,Adult,,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1600,Partly cloudy,Moderate,75,26,0,0,0,,Research,-84.41,42.95,Adult,,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1530,Partly cloudy,Moderate,75,45,100,0,0,,Research,-84.41,42.95,Adult,Adult,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1530,Partly cloudy,Moderate,75,45,100,0,0,,Research,-84.41,42.95,Adult,Adult,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1500,Partly cloudy,Moderate,75,58,100,0,0,,Research,-84.41,42.95,Adult,Adult,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1430,Partly cloudy,Moderate,75,53,0,102,0,,Research,-84.41,42.95,Adult,,Adult,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1430,Partly cloudy,Moderate,75,50,0,100,0,,Research,-84.41,42.95,,,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1400,Partly cloudy,Light,75,59,100,0,0,,Research,-84.41,42.95,,,,,0,
Michigan,"1,796",SLHSP,"9/18/2011, 8:00 PM",1400,Sunny,Light,75,25,0,100,0,,Research,-84.41,42.95,,,,,0,
Michigan,"1,795",HMMPK,"9/3/2011, 8:00 PM",1730,Partly cloudy,Light,75,143,636,"1,162",0,,Research,-83.91,42.39,Adult,Adult,Adult,,0,
Michigan,"1,756",HNFBC,"7/23/2011, 8:00 PM",3:00PM,Partly cloudy,Light,80,220,0,"1,202",0,,Research,-83.58,44.65,Adult,,Adult,,0,
Michigan,10,dfg,"7/25/2011, 8:00 PM",1:00 PM,Sunny,Light,82,100,0,0,0,,Research,-83.23,43.5,,,,,,
Michigan,11,dfn,"7/25/2011, 8:00 PM",1:00 PM,Sunny,Light,82,100,0,0,0,,Research,-83.25,43.49,,,,,,
Michigan,13,tunn,"7/25/2011, 8:00 PM",12:00 PM,Sunny,Light,82,100,0,0,0,,Research,-83.33,43.45,,,,,,
Michigan,14,tung,"7/25/2011, 8:00 PM",12:00,Sunny,Light,82,100,0,0,0,,Research,-83.36,43.45,,,,,,
Michigan,17,tusg,"7/25/2011, 8:00 PM",12:00 PM,Sunny,Light,82,100,0,0,0,,Research,-83.36,43.43,,,,,,
Michigan,18,tusn,"7/25/2011, 8:00 PM",12:00,Sunny,Light,82,100,0,0,0,,Research,-83.37,43.44,,,,,,
Michigan,13,tunn,"8/8/2011, 8:00 PM",12:00 PM,Partly cloudy,Light,70,0,200,200,0,,Research,-83.33,43.45,,,,,,
Michigan,14,tung,"8/8/2011, 8:00 PM",11:00 AM,Partly cloudy,Light,70,0,200,200,0,,Research,-83.36,43.45,,,,,,
Michigan,17,tusg,"8/8/2011, 8:00 PM",11:00,Partly cloudy,Light,70,0,200,200,0,,Research,-83.36,43.43,,,,,,
Michigan,18,tusn,"8/8/2011, 8:00 PM",11:00 AM,Partly cloudy,Light,70,0,200,200,0,,Research,-83.37,43.44,,,,,,
Michigan,11,dfn,"8/8/2011, 8:00 PM",12:00 PM,Partly cloudy,Light,75,0,200,200,0,,Research,-83.25,43.49,,,,,,
Michigan,10,dfg,"8/8/2011, 8:00 PM",12:00 PM,Partly cloudy,Light,75,0,200,200,0,,Research,-83.23,43.5,,,,,,
Michigan,11,dfn,"8/23/2011, 8:00 PM",1:00 PM,Partly cloudy,Moderate,88,0,200,200,0,,Research,-83.25,43.49,,,,,,
Michigan,10,dfg,"8/23/2011, 8:00 PM",1:00 PM,Partly cloudy,Moderate,88,0,200,200,0,,Research,-83.23,43.5,,,,,,
Michigan,13,tunn,"8/23/2011, 8:00 PM",12:00,Partly cloudy,Moderate,88,0,200,200,0,,Research,-83.33,43.45,,,,,,
Michigan,14,tung,"8/23/2011, 8:00 PM",12:00,Partly cloudy,Moderate,88,0,200,200,0,,Research,-83.36,43.45,,,,,,
Michigan,17,tusg,"8/23/2011, 8:00 PM",12:00,Partly cloudy,Moderate,88,0,200,200,0,,Research,-83.36,43.43,,,,,,
Michigan,18,tusn,"8/23/2011, 8:00 PM",12:00,Partly cloudy,Moderate,88,0,200,200,0,,Research,-83.37,43.44,,,,,,
Michigan,32,ION,"8/30/2011, 8:00 PM",11:30,Sunny,Light,78,0,200,200,0,,Research,-85.12,42.96,,,,,,
Michigan,33,IOG,"8/30/2011, 8:00 PM",11:30,Sunny,Light,78,0,200,200,0,,Research,-85.12,42.96,,,,,,
Michigan,28,MR2N,"8/30/2011, 8:00 PM",10:30,Sunny,Light,78,0,200,200,0,,Research,-84.66,43.13,,Adult,Adult,,0,
Michigan,29,MR2G,"8/30/2011, 8:00 PM",10:30,Sunny,Light,78,0,200,200,0,,Research,-84.7,43.12,,Adult,Adult,,0,
Michigan,10,dfg,"9/6/2011, 8:00 PM",12:30,Cloudy,Moderate,65,0,200,200,0,,Research,-83.23,43.5,,,,,,
Michigan,13,tunn,"9/6/2011, 8:00 PM",12:00,Cloudy,Moderate,65,0,200,200,0,,Research,-83.33,43.45,,,,,,
Michigan,14,tung,"9/6/2011, 8:00 PM",12:00,Cloudy,Moderate,65,0,200,200,0,,Research,-83.36,43.45,,,,,,
Michigan,17,tusg,"9/6/2011, 8:00 PM",12:00,Cloudy,Moderate,65,0,200,200,0,,Research,-83.36,43.43,,,,,,
Michigan,18,tusn,"9/6/2011, 8:00 PM",12:00,Cloudy,Moderate,65,0,200,200,0,,Research,-83.37,43.44,,,,,,
Michigan,19,asr,"7/30/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,,Default values used,Research,-84.41,43.72,,,,,,
Michigan,19,asr,"9/9/2009, 8:00 PM",12:00,Sunny,Light,75,0,300,0,,Default values used,Research,-84.41,43.72,,,,,,
Michigan,"1,773",BFPKLT,"8/12/2008, 8:00 PM",12:00,Sunny,Light,75,0,63,0,0,,Research,-84.6,42.59,,Adult,,,0,
Michigan,"1,773",BFPKLT,"7/19/2009, 8:00 PM",12:00,Sunny,Light,75,0,200,0,0,,Research,-84.6,42.59,,Adult,,,0,
Michigan,"1,773",BFPKLT,"8/20/2009, 8:00 PM",12:00,Sunny,Light,75,0,200,0,0,,Research,-84.6,42.59,Adult,Adult,,,0,
Michigan,"1,769",CPNMLT,"8/27/2008, 8:00 PM",12:00,Sunny,Light,75,0,52,0,,Default conditions used.,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"7/21/2009, 8:00 PM",12:00,Sunny,Light,75,0,200,0,0,Default conditions used.,Research,-84.42,42.73,,,,,0,
Michigan,"1,769",CPNMLT,"8/20/2009, 8:00 PM",12:00,Sunny,Light,75,0,200,0,,Default conditions used.,Research,-84.42,42.73,,,,,,
Michigan,10,dfg,"8/2/2010, 8:00 PM",12:00,Sunny,Light,75,0,200,200,,Default conditions used,Research,-83.23,43.5,,,,,,
Michigan,10,dfg,"8/16/2010, 8:00 PM",12:00,Sunny,Light,75,0,200,200,,Default conditions used,Research,-83.23,43.5,,,,,,
Michigan,10,dfg,"8/30/2010, 8:00 PM",12:00,Sunny,Light,75,0,200,200,,Default conditions used,Research,-83.23,43.5,,,,,,
Michigan,"1,770",LPRFLT,"8/13/2008, 8:00 PM",12:00,Sunny,Light,75,0,56,0,0,,Research,-84.38,42.7,,Adult,,,0,
Michigan,23,gser,"7/23/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,,Default conditions used,Research,-84.37,43.22,,,,,,
Michigan,23,gser,"8/24/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,,Default conditions used,Research,-84.37,43.22,,,,,,
Michigan,25,gswr,"8/27/2007, 8:00 PM",12:00,Sunny,Light,75,0,25,0,0,,Research,-84.45,43.23,,Adult,,,0,
Michigan,25,gswr,"9/5/2007, 8:00 PM",12:00,Sunny,Light,75,0,30,0,0,,Research,-84.45,43.23,,Adult,,,0,
Michigan,25,gswr,"9/20/2007, 8:00 PM",12:00,Sunny,Light,75,0,15,0,0,,Research,-84.45,43.23,,Adult,,,0,
Michigan,25,gswr,"8/21/2008, 8:00 PM",12:00,Sunny,Light,75,0,26,0,0,,Research,-84.45,43.23,,Adult,,,0,
Michigan,25,gswr,"7/23/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,0,,Research,-84.45,43.23,,Adult,,,0,
Michigan,25,gswr,"8/24/2009, 8:00 PM",12:00,Sunny,Light,75,0,300,0,0,,Research,-84.45,43.23,,Adult,,,0,
Michigan,25,gswr,"9/16/2009, 8:00 PM",1:00PM,Sunny,Light,75,0,150,400,0,,Research,-84.45,43.23,,Adult,Adult,,0,
Michigan,33,IOG,"7/26/2010, 8:00 PM",12:00,Sunny,Light,75,0,212,239,,Default conditions used,Research,-85.12,42.96,,,,,,
Michigan,33,IOG,"8/9/2010, 8:00 PM",12:00,Sunny,Light,75,0,211,214,,Default conditions used,Research,-85.12,42.96,,,,,,
Michigan,33,IOG,"8/22/2010, 8:00 PM",12:00,Sunny,Light,75,0,211,208,,Default conditions used,Research,-85.12,42.96,,,,,,
Michigan,"1,770",LPRFLT,"7/20/2009, 8:00 PM",12:00,Sunny,Light,75,0,200,0,0,,Research,-84.38,42.7,,Adult,,,0,
Michigan,"1,770",LPRFLT,"8/20/2009, 8:00 PM",12:00,Sunny,Light,75,0,200,0,0,,Research,-84.38,42.7,,Adult,,,0,
Michigan,31,mrr,"7/30/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,0,,Research,-84.77,43.09,,Adult,,,0,
Michigan,31,mrr,"8/24/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,0,,Research,-84.77,43.09,,Adult,,,0,
Michigan,31,mrr,"9/9/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,0,,Research,-84.77,43.09,,Adult,,,0,
Michigan,29,MR2G,"7/26/2010, 8:00 PM",12:00,Sunny,Light,75,0,212,239,0,,Research,-84.7,43.12,,Adult,Adult,,0,
Michigan,29,MR2G,"8/9/2010, 8:00 PM",12:00,Sunny,Light,75,0,211,214,0,,Research,-84.7,43.12,,Adult,Adult,,0,
Michigan,29,MR2G,"8/22/2010, 8:00 PM",12:00,Sunny,Light,75,0,211,208,0,,Research,-84.7,43.12,,Adult,Adult,,0,
Michigan,22,sr,"8/27/2007, 8:00 PM",12:00,Sunny,Light,75,0,25,0,,Default conditions used.,Research,-84.11,43.34,,,,,,
Michigan,22,sr,"9/5/2007, 8:00 PM",12:00,Sunny,Light,75,0,30,0,,Default conditions used.,Research,-84.11,43.34,,,,,,
Michigan,22,sr,"9/20/2007, 8:00 PM",12:00,Sunny,Light,75,0,15,0,,Default conditions used.,Research,-84.11,43.34,,,,,,
Michigan,22,sr,"8/21/2008, 8:00 PM",12:00,Sunny,Light,75,0,26,0,,Default conditions used.,Research,-84.11,43.34,,,,,,
Michigan,22,sr,"7/23/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,,Default conditions used.,Research,-84.11,43.34,,,,,,
Michigan,22,sr,"8/24/2009, 8:00 PM",12:00,Sunny,Light,75,0,300,0,,Default conditions used.,Research,-84.11,43.34,,,,,,
Michigan,22,sr,"9/16/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,300,,Default conditions used.,Research,-84.11,43.34,,,,,,
Michigan,"1,779",Strazanac Farm,"7/30/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,,Default conditions used,Research,-84.59,43.22,,,,,,
Michigan,"1,779",Strazanac Farm,"9/9/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,,Default conditions used,Research,-84.59,43.22,,,,,,
Michigan,"1,779",Strazanac Farm,"9/16/2009, 8:00 PM",12:00,Sunny,Light,75,0,150,0,,Default conditions used,Research,-84.59,43.22,,,,,,
Michigan,14,tung,"8/2/2010, 8:00 PM",12:00,Sunny,Light,75,0,207,217,,Default conditions used,Research,-83.36,43.45,,,,,,
Michigan,14,tung,"8/15/2010, 8:00 PM",12:00,Sunny,Light,75,0,210,211,,Default conditions used,Research,-83.36,43.45,,,,,,
Michigan,14,tung,"8/22/2010, 8:00 PM",12:00,Sunny,Light,75,0,216,220,,Default conditions used,Research,-83.36,43.45,,,,,,
Michigan,13,tunn,"8/2/2010, 8:00 PM",12:00,Sunny,Light,75,0,207,217,,Default conditions used,Research,-83.33,43.45,,,,,,
Michigan,13,tunn,"8/15/2010, 8:00 PM",12:00,Sunny,Light,75,0,210,211,,Default conditions used,Research,-83.33,43.45,,,,,,
Michigan,13,tunn,"8/22/2010, 8:00 PM",12:00,Sunny,Light,75,0,216,220,,Default conditions used,Research,-83.33,43.45,,,,,,
Michigan,17,tusg,"8/2/2010, 8:00 PM",12:00,Sunny,Light,75,0,207,217,,Default conditions used.,Research,-83.36,43.43,,,,,,
Michigan,17,tusg,"8/15/2010, 8:00 PM",12:00,Sunny,Light,75,0,210,211,,Default conditions used.,Research,-83.36,43.43,,,,,,
Michigan,17,tusg,"8/22/2010, 8:00 PM",12:00,Sunny,Light,75,0,216,220,,Default conditions used.,Research,-83.36,43.43,,,,,,
Michigan,18,tusn,"8/2/2010, 8:00 PM",12:00,Sunny,Light,75,0,207,217,,Default conditions used,Research,-83.37,43.44,,,,,,
Michigan,18,tusn,"8/15/2010, 8:00 PM",12:00,Sunny,Light,75,0,210,211,,Default conditions used,Research,-83.37,43.44,,,,,,
Michigan,18,tusn,"8/22/2010, 8:00 PM",12:00,Sunny,Light,75,0,216,220,,Default conditions used,Research,-83.37,43.44,,,,,,
Michigan,"1,803",MSUDR,"7/25/2007, 8:00 PM",12:00,Sunny,Light,75,117,0,73,0,,Research,-84.41,42.7,Adult,,Adult,,0,
Michigan,"1,803",MSUDR,"7/29/2007, 8:00 PM",12:00,Sunny,Light,75,123,0,0,0,,Research,-84.41,42.7,Adult,,,,0,
Michigan,"1,803",MSUDR,"8/1/2007, 8:00 PM",12:00,Sunny,Light,75,120,0,143,0,,Research,-84.41,42.7,Adult,,Adult,,0,
Michigan,"1,803",MSUDR,"8/19/2007, 8:00 PM",12:00,Sunny,Light,75,172,0,0,0,,Research,-84.41,42.7,Adult,,,,0,
Michigan,"1,803",MSUDR,"8/26/2007, 8:00 PM",12:00,Sunny,Light,75,63,0,0,0,,Research,-84.41,42.7,Adult,,,,0,
Michigan,"1,803",MSUDR,"9/5/2007, 8:00 PM",12:00,Sunny,Light,75,115,0,0,0,,Research,-84.41,42.7,Adult,,Adult,,0,
Michigan,"1,803",MSUDR,"9/20/2007, 8:00 PM",12:00,Sunny,Light,75,0,0,66,0,,Research,-84.41,42.7,,,Adult,,0,
Michigan,"1,803",MSUDR,"10/4/2007, 8:00 PM",12:00,Sunny,Light,75,0,0,207,0,,Research,-84.41,42.7,,,Adult,,0,
Michigan,"1,803",MSUDR,"6/5/2008, 8:00 PM",12:00,Sunny,Light,75,106,0,0,0,,Research,-84.41,42.7,Adult,,,,0,
Michigan,"1,803",MSUDR,"7/2/2008, 8:00 PM",12:00,Sunny,Light,75,50,0,0,0,,Research,-84.41,42.7,Adult,,,,0,
Michigan,"1,773",BFPKLT,"7/14/2008, 8:00 PM",12:00,Sunny,Light,75,100,0,0,0,,Research,-84.6,42.59,Adult,,,,0,
Michigan,"1,773",BFPKLT,"7/10/2008, 8:00 PM",12:00,Sunny,Light,75,0,0,111,0,,Research,-84.6,42.59,,,Adult,,0,
Michigan,"1,773",BFPKLT,"8/6/2008, 8:00 PM",12:00,Sunny,Light,75,103,0,0,0,Default conditions used.,Research,-84.6,42.59,Adult,,,,0,
Michigan,"1,770",LPRFLT,"7/22/2008, 8:00 PM",12:00,Sunny,Light,75,100,0,0,0,Default coditions used.,Research,-84.38,42.7,Adult,,,,0,
Michigan,"1,770",LPRFLT,"8/9/2008, 8:00 PM",12:00,Sunny,Light,75,100,0,0,0,Default coditions used.,Research,-84.38,42.7,Adult,,,,0,
Michigan,"1,770",LPRFLT,"9/11/2008, 8:00 PM",12:00,Sunny,Light,75,0,0,80,0,Default coditions used.,Research,-84.38,42.7,,,Adult,,0,
Michigan,"1,770",LPRFLT,"9/29/2008, 8:00 PM",12:00,Sunny,Light,75,0,0,20,0,,Research,-84.38,42.7,,,Adult,,0,
Michigan,"1,801",CRPK,"8/13/2008, 8:00 PM",12:00,Sunny,Light,75,118,0,0,0,,Research,-84.52,42.72,Adult,,,,0,
Michigan,"1,800",SWPK,"5/24/2008, 8:00 PM",12:00,Sunny,Light,75,0,0,52,0,,Research,-84.53,42.7,,,Adult,,0,
Michigan,"1,800",SWPK,"8/15/2008, 8:00 PM",12:00,Sunny,Light,75,58,0,0,0,,Research,-84.53,42.7,Adult,,,,0,
Michigan,"1,799",FPK,"8/22/2008, 8:00 PM",12:00,Sunny,Light,75,102,0,0,0,,Research,-84.59,42.72,Adult,,,,0,
Michigan,23,gser,"6/26/2008, 8:00 PM",12:00,Sunny,Light,75,99,0,79,,Default conditions used.,Research,-84.37,43.22,,,,,,
Michigan,19,asr,"8/30/2008, 8:00 PM",12:00,Partly cloudy,Light,75,80,0,0,,"Oobius agrili from FS-NRS 2006 & 2007 colonies, post-diapause adults. Black and green ash mainly mature stand, some smaller. EAB densities low mainly attack limited to small black ash trees at site.",Research,-84.41,43.72,,,,,,
Michigan,"1,769",CPNMLT,"8/5/2007, 8:00 PM",12:00,Sunny,Light,75,119,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"8/9/2007, 8:00 PM",12:00,Sunny,Light,75,128,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"8/12/2007, 8:00 PM",12:00,Sunny,Light,75,131,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"8/20/2007, 8:00 PM",12:00,Sunny,Light,75,129,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"8/23/2007, 8:00 PM",12:00,Sunny,Light,75,96,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"8/30/2007, 8:00 PM",12:00,Sunny,Light,75,93,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"9/27/2007, 8:00 PM",12:00,Sunny,Light,75,0,0,323,0,,Research,-84.42,42.73,,,Adult,,0,
Michigan,"1,769",CPNMLT,"10/11/2007, 8:00 PM",12:00,Sunny,Light,75,0,0,348,0,Default conditions used,Research,-84.42,42.73,,,Adult,,0,
Michigan,"1,769",CPNMLT,"6/4/2008, 8:00 PM",12:00,Sunny,Light,75,0,0,147,0,Default conditions used,Research,-84.42,42.73,,,Adult,,0,
Michigan,"1,769",CPNMLT,"6/5/2008, 8:00 PM",12:00,Sunny,Light,75,112,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"7/8/2008, 8:00 PM",12:00,Sunny,Light,75,70,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"7/29/2008, 8:00 PM",12:00,Sunny,Light,75,100,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,769",CPNMLT,"8/15/2008, 8:00 PM",12:00,Sunny,Light,75,50,0,0,,Default conditions used,Research,-84.42,42.73,,,,,,
Michigan,"1,802",MSUTRC,"8/2/2008, 8:00 PM",12:00,Sunny,Light,75,57,0,0,0,,Research,-84.47,42.67,Adult,,,,0,
Michigan,"1,802",MSUTRC,"8/11/2008, 8:00 PM",12:00,Sunny,Light,75,100,0,0,0,,Research,-84.47,42.67,Adult,,,,0,
Michigan,"1,774",MRWEST,"8/14/2011, 8:00 PM",10:00 PM,Partly cloudy,Light,75,0,0,360,0,,Research,-84.87,43.03,,,Adult,,0,
Michigan,"1,766",PINPK,"6/14/2011, 8:00 PM",16:00,Sunny,Light,75,0,0,340,0,,Program,-83.92,43.85,,,Adult,,0,
Michigan,"1,766",PINPK,"5/31/2011, 8:00 PM",16:00,Sunny,Light,75,0,598,833,0,,Program,-83.92,43.85,,Adult,Adult,,0,
Michigan,"1,766",PINPK,"7/4/2011, 8:00 PM",14:00,Sunny,Light,85,0,0,400,0,,Program,-83.92,43.85,,,,,0,
