STATE,SITE_ID,COMMENTS,CONTROL,ORIGIN,TRAP_NUMBER,DATE_TRAP_SAMPLED,NUMBER_S.AGRILI_INDIVIDUALS,NUMBER_T.PLANIPENNISI_INDIVIDUALS,NUMBER_O.AGRILI,NUMBER_OF_S.AGRILI_CLUTCHES,NUMBER_OF_T.PLANIPENNISI_CLUTCHES,NUMBER_OF_ATANYCHOLUS,SAMPLE METHOD,NUMBER OF SAMPLES,POSSIBLE_EAB_PARASITOID_RECOVERED,DATE_SAMPLE_SHIPPED,SAMPLE_SHIPPED_TO,POINT_X,POINT_Y,COMMENTS_LAB,USER_ID,SITE_NAME,NUMBER_S.GALINAE_CLUTCHES
Michigan,"1,983",,,Program,IND8/13-9,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-4,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-1,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-5,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-12,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-6,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND7/13-14,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Tree Debarking,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-14,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-11,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-3,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-8,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Michigan,"1,983",,,Program,IND8/13-13,"8/1/2013, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,"7/29/2013, 8:00 PM",Juli Gould,-86.19,44.7,,SLBENRM,Old Indian Trail,0
West Virginia,43,,,,Roane B-4,"8/4/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,,,-81.3,38.65,,rbraud,Roane,0
West Virginia,43,,,,Roane C-6,"8/4/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,1,No,,,-81.3,38.65,,rbraud,Roane,0
Minnesota,"1,521","2 sentinel and 2 release trees were peeled on site during this visit (1,12,19,26)",,,H001,"11/27/2012, 7:00 PM",0,0,0,0,0,0,Tree Debarking,4,No,,,-91.24,43.52,,josthus,Houston Release 01,0
Minnesota,"1,513",Release trees at Tower Hill Park were removed due to city management plans. 5 release trees were peeled on site with no parasitoids recovered.,,,THP01,"3/31/2012, 8:00 PM",0,0,0,0,0,0,Tree Debarking,5,No,,,-93.21,44.97,,josthus,Tower Hill Park,0
Minnesota,"1,817",I cannot recall the date the samples were shipped to Juli Gould. 2 possible Atanycoulus sp. cocoons were found inside of EAB galleries. They did not survive and official identification was unsuccessful. Tree location was adjacent to GRBSP site 1.,,,GRBSP01,"3/28/2013, 8:00 PM",0,0,0,0,0,0,Tree Debarking,1,Yes,,Juli Gould,-91.38,43.93,,josthus,Great River Bluffs 1,0
Indiana,"2,025",,,,Huntington,"2/24/2013, 7:00 PM",0,0,0,0,0,0,Tree Debarking,4,No,,,-85.46,40.84,Ash trees were peeled. EAB galleries were either from previous years or woodpeckers consumed EAB larvae.,donaldson77,Huntington-2,0
Indiana,"2,025",,,,Huntington,"2/11/2014, 7:00 PM",0,0,0,0,0,0,Tree Debarking,4,No,,,-85.47,40.85,Ash trees did not have EAB larvae. They were the only live trees we could find and no EAB were found.,donaldson77,Huntington-2,0
Indiana,"2,037",,,,Frankepark,"2/11/2014, 7:00 PM",0,0,0,0,0,0,Tree Debarking,4,No,,,-85.16,41.11,Woodpeckers consumed most EAB larvae.,donaldson77,Franke Park,0
Indiana,"2,037",I reared out gregarious parasitoids from pupae. They appeared not to be any of the released EAB parasitoids. I sent them to Jon Lelito to attempt to identify them.,,,Frankepark,"3/3/2013, 7:00 PM",0,0,0,0,0,0,Tree Debarking,4,No,,Jon Lelito,-85.16,41.1,,donaldson77,Franke Park,0
Pennsylvania,"1,454",,,,SGL 252,"7/28/2013, 8:00 PM",0,0,0,0,0,0,Tree Debarking,2,No,,,-76.96,41.12,,PArelease11,SGL 252,0
Michigan,"1,992",,,,EmpBlf2014,"9/11/2014, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,0,No,,,-86.07,44.9,,SLBENRM,Empire Bluff Trail,0
Michigan,"2,010",,,,OttCrk2014,"9/11/2014, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,0,No,,,-86.07,44.76,,SLBENRM,Otter Creek,0
Michigan,"1,983",,,,OldInd2014,"9/11/2014, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,0,No,,,-86.18,44.7,,SLBENRM,Old Indian Trail,0
Minnesota,"1,818",A solitary parasitoid was found in an EAB gallery in a branch sample from a green ash tree at Great River Bluffs State Park. Pictures can be seen at https://plus.google.com/photos/110288044640879329565/albums/6085684764818781409?banner=pwa,0,,185W.B,"11/25/2014, 7:00 PM",0,0,0,0,0,0,Tree Debarking,70,No,,,-91.41,43.95,,josthus,Great River Bluffs 2,0
Minnesota,"1,820",3 release trees had bark samples taken from the south side of the tree. No EAB eggs were found using the bark sifting method.,0,Program,Lamoille,"11/11/2014, 7:00 PM",0,0,0,0,0,0,Bark Sifting,3,No,,,-91.46,44,,josthus,Lamoille,0
Michigan,"1,992",,0,Program,EmpBl2015,"9/4/2015, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,12,No,,,-86.07,44.8,,SLBENRM,Empire Bluff Trail,0
Michigan,"2,010",,0,Program,OtCrk2015,"9/8/2015, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,12,No,,,-86.07,44.76,,SLBENRM,Otter Creek/Platte Plains,0
Connecticut,"2,256","We found what appear to be Spathius spp. cocoons, and a large external solitary parasitoid. All trees large",0,Program,CTP02,"10/6/2015, 8:00 PM",0,0,0,0,0,0,Tree Debarking,3,No,"11/29/2015, 7:00 PM",Dr. Juli Gould USDA APHIS,-73,41.47,,crutledge,straitsville prospect,0
Minnesota,"2,333",bark samples were taken from 6 trees at Hwy 26 release site. No EAB eggs were found in.10x50cm area of bark taken for each tree sampled.,0,Program,Hwy26.15,"4/21/2015, 8:00 PM",0,0,0,0,0,0,Bark Sifting,6,No,,,-91.28,43.54,,josthus,Hwy 26,0
Minnesota,"1,521",4 bark samples were collected. only 1 EAB egg was recovered from samples. It had visible exit hole and was packed with frass.10x50cm area of bark taken for each tree sampled.,0,Program,HR.15,"9/2/2015, 8:00 PM",0,0,0,0,0,0,Bark Sifting,4,No,,,-91.24,43.52,,josthus,Houston Release 01,0
Minnesota,"1,816",5 bark samples were collected from the shoreview1 release site. No EAB eggs were recovered.10x50cm area of bark taken for each tree sampled.,0,Program,Shoreview,"4/1/2015, 8:00 PM",0,0,0,0,0,0,Bark Sifting,5,No,,,-93.18,45.11,,josthus,Shoreview 1,0
Minnesota,"1,518",2 bark samples collected. 2 EAB eggs recovered with no signs of parasitism.10x50cm area of bark taken for each tree sampled.,0,Program,WRPKWY,"2/24/2015, 7:00 PM",0,0,0,0,0,0,Bark Sifting,2,No,,,-93.22,44.96,,josthus,W. River Parkway 1,0
Minnesota,"2,298",6 bark samples were collected. No EAB eggs were recovered. 10x50cm area of bark taken for each tree sampled.,0,Program,WRPKWY.2,"9/24/2015, 8:00 PM",0,0,0,0,0,0,Bark Sifting,6,No,,,-93.2,44.92,,josthus,W. River Pkwy 2,0
Minnesota,"1,518",6 bark samples collected. 12 EAB eggs recovered with no signs of parasitism. 10x50cm area of bark taken for each tree sampled.,0,Program,WRPKWY.3,"10/11/2015, 8:00 PM",0,0,0,0,0,0,Bark Sifting,6,No,,,-93.23,44.97,,josthus,W. River Parkway 1,0
Minnesota,"1,517",5 bark samples collected. 3 EAB eggs were recovered with no signs of parasitism. 10x50cm area of bark taken for each tree sampled.,0,Program,ERPKWY2,"2/24/2015, 7:00 PM",0,0,0,0,0,0,Bark Sifting,5,No,,,-93.21,44.96,,josthus,E. River Parkway 2,0
Minnesota,"1,820",4 bark samples collected. 21 EAB eggs collected with no signs of parasitism. 10x50cm area of bark taken for each tree sampled.,0,Program,Lam.2,"4/22/2015, 8:00 PM",0,0,0,0,0,0,Bark Sifting,4,No,,,-91.45,43.99,,josthus,Lamoille,0
Minnesota,"1,818",4 bark samples collected. 73 EAB eggs collected with no signs of parasitism. 10x50cm area of bark taken for each tree sampled.,0,Program,GRBSP2.3,"11/2/2015, 7:00 PM",0,0,0,0,0,0,Bark Sifting,4,No,,,-91.41,43.94,,josthus,Great River Bluffs State Park 2,0
Minnesota,"1,817",4 bark samples collected. 15 EAB eggs recovered with no signs of parasitism. 10x50cm area of bark taken for each tree sampled.,0,Program,GRBSP1.2,"11/9/2015, 7:00 PM",0,0,0,0,0,0,Bark Sifting,4,No,,,-91.38,43.93,,josthus,Great River Bluffs State Park 1,0
Minnesota,"2,474",6 bark samples collected. 6 EAB eggs recovered with no signs of parasitism. 10x50cm area of bark taken for each tree sampled.,0,Program,FtSnell.1,"10/11/2015, 8:00 PM",0,0,0,0,0,0,Bark Sifting,6,No,,,-93.19,44.88,,josthus,Fort Snelling Hillside Hwy 5,0
Illinois,52,null,0,Program,DRW,"9/14/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,,-87.67,41.73,No exotic EAB parasitoids found (Juli Gould),juligould,DRW,0
Illinois,51,null,0,Program,FGG,"9/15/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,13,No,,,-87.76,41.98,No exotic EAB parasitoids found (Juli Gould),juligould,FGG,0
Illinois,53,null,0,Program,KPW,"8/10/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,13,No,,,-87.65,41.63,No exotic EAB parasitoids found (Juli Gould),juligould,KPW,0
Illinois,53,null,0,Program,KPW,"9/15/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,,-87.65,41.63,No exotic EAB parasitoids found (Juli Gould),juligould,KPW,0
Illinois,"2,125",null,0,Research,Schiller,"8/11/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,10,No,,,-87.86,41.96,No exotic EAB parasitoids found (Juli Gould),juligould,Schiller Woods,0
Illinois,"2,125",null,0,Research,Schiller,"9/15/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,,-87.86,41.96,No exotic EAB parasitoids found (Juli Gould),juligould,Schiller Woods,0
Maryland,"1,484",null,0,Program,Gallahan,"2/18/2013, 7:00 PM",0,0,0,0,0,0,Logs in Tubes,1,No,,,-76.97,38.71,null,juligould,GALLAHAN,0
Maryland,"1,484",null,0,Program,Gallahan,"2/20/2013, 7:00 PM",0,0,0,0,0,0,Logs in Tubes,1,No,,,-76.97,38.71,null,juligould,GALLAHAN,0
Maryland,"1,836",null,0,Program,Temple H1,"4/23/2012, 8:00 PM",0,0,0,0,0,0,Logs in Tubes,1,No,,,-76.93,38.79,null,juligould,Temple Hill 1,0
Maryland,"1,836",null,0,Program,Temple H1,"6/5/2013, 8:00 PM",0,0,0,0,0,0,Logs in Tubes,1,No,,,-76.93,38.79,null,juligould,Temple Hill 1,0
Michigan,19,null,0,Research,AS_R,"2/22/2010, 7:00 PM",0,0,0,0,0,0,Tree Debarking,4,No,,,-84.41,43.72,null,juligould,AS_R,0
Michigan,19,null,0,Research,AS_R,"2/22/2010, 7:00 PM",0,0,0,0,0,0,Bark in Tubes,15,No,,,-84.41,43.72,null,juligould,AS_R,0
Michigan,"3,019",null,0,Research,Benda,"9/17/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,,-88.45,47.22,No exotic EAB parasitoids found (Juli Gould),juligould,Benda,0
Michigan,"1,773",null,0,Research,BFPKLT,"6/29/2008, 8:00 PM",0,0,0,0,0,0,Egg Collection,91,No,,,-84.6,42.59,null,juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"7/14/2008, 8:00 PM",0,0,0,0,0,0,Egg Collection,76,No,,,-84.6,42.59,null,juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"8/10/2008, 8:00 PM",0,0,0,0,0,0,Egg Collection,12,No,,,-84.6,42.59,null,juligould,BFPKLT,0
Michigan,"1,773",null,0,,BFPKLT,"7/7/2010, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,10,No,,Jason Hanson,-84.6,42.59,null,juligould,,0
Michigan,"1,773",null,0,Research,BFPKLT,"8/1/2010, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,10,No,,Jason Hansen,-84.6,42.59,null,juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"8/8/2010, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,0,No,,Jason Hansen,-84.6,42.59,null,juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BfPKLT,"8/16/2010, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,10,No,,Jason Hansen,-84.6,42.59,null,juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"8/24/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,10,No,,Jason Hansen,-84.6,42.59,No exotic EAB parasitoids confirmed (Juli Gould),juligould,BFPKLT,0
Michigan,"1,773",null,0,Research,BFPKLT,"5/29/2013, 8:00 PM",0,0,0,0,0,0,Bark Sifting,10,Yes,,Kris Abell,-84.6,42.59,No exotic EAB parasitoids confirmed (Juli Gould),juligould,BFPKLT,0
Michigan,"1,798",null,0,,BFPKLT_C,"6/29/2008, 8:00 PM",0,0,0,0,0,0,Egg Collection,81,No,,Leah Bauer,-84.6,42.58,null,juligould,,0
Michigan,"1,798",null,0,Research,BFPKLT_C,"7/14/2008, 8:00 PM",0,0,0,0,0,0,Egg Collection,63,No,,Leah Bauer,-84.6,42.58,null,juligould,BFPKLT_C,0
Michigan,"1,798",null,0,Research,BFPKLT_C,"8/10/2008, 8:00 PM",0,0,0,0,0,0,Egg Collection,25,No,,Leah Bauer,-84.6,42.58,null,juligould,BFPKLT_C,0
Michigan,"1,769",null,0,Research,CPNMLT,"7/1/2008, 8:00 PM",0,0,0,0,0,0,Egg Collection,81,No,,Leah Bauer,-84.42,42.73,null,juligould,CPNMLT,0
Michigan,"1,769",null,0,Research,CPNMLT,"7/7/2008, 8:00 PM",0,0,0,0,0,0,Egg Collection,26,No,,Leah Bauer,-84.42,42.73,null,juligould,CPNMLT,0
Michigan,"1,769",null,0,Research,CPNMLT,"6/9/2011, 8:00 PM",0,0,0,0,0,14,Sentinel Larvae,6,No,,Kris Abell,-84.42,42.73,null,juligould,CPNMLT,0
Michigan,"1,769",null,0,Research,CPNMLT,"6/23/2011, 8:00 PM",0,0,0,0,0,7,Sentinel Larvae,6,No,,Kris Abell,-84.42,42.73,null,juligould,CPNMLT,0
Michigan,"1,769",null,0,Research,CPNMLT,"7/21/2011, 8:00 PM",0,0,0,0,0,0,Sentinel Larvae,6,No,,Kris Abell,-84.42,42.73,null,juligould,CPNMLT,0
Michigan,"1,769",null,0,Research,CPNMLT,"8/4/2011, 8:00 PM",0,0,0,0,0,0,Sentinel Larvae,6,No,,Kris Abell,-84.42,42.73,null,juligould,CPNMLT,0
Michigan,"1,769",null,0,Research,CPNMLT,"8/18/2011, 8:00 PM",0,0,0,0,0,0,Sentinel Larvae,6,No,,Kris Abell,-84.42,42.73,null,juligould,CPNMLT,0
Michigan,"1,793",null,0,Research,CPNMLT_C,"5/8/2013, 8:00 PM",0,0,0,0,0,0,Bark in Tubes,10,No,,Kris Abell,-84.42,42.74,No exotic EAB parasitoids confirmed (Juli Gould),juligould,CPNMLT_C,0
Michigan,61,null,0,Research,Delta Co.,"9/19/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-86.56,45.91,No exotic EAB parasitoids found (Juli Gould),juligould,Delta Co. Park Site,0
Michigan,61,null,0,Research,Delta Co.,"10/31/2012, 8:00 PM",0,0,0,0,0,0,Egg Collection,15,No,,Andrew Storer,-86.56,45.91,No exotic EAB parasitoids confirmed (Juli Gould),juligould,Delta Co. Park Site,0
Michigan,"2,020",null,0,Program,GravelPit,"8/27/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-86.64,45.89,No exotic EAB parasitoids found (Juli Gould),juligould,Gravel Pit,0
Michigan,"2,020",null,0,Program,GravelPit,"9/19/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-86.64,45.89,No exotic EAB parasitoids found (Juli Gould),juligould,Gravel Pit,0
Michigan,"1,951",null,0,Program,StateofMI,"8/26/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-86.47,45.9,No exotic EAB parasitoids found (Juli Gould),juligould,State of Mi,0
Michigan,"1,951",null,0,Program,StateofMI,"9/18/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-86.47,45.9,No exotic EAB parasitoids found (Juli Gould),juligould,State of Mi,0
Michigan,10,null,0,Research,dfg,"9/3/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,11,No,,Juli Gould,-83.23,43.5,No exotic EAB parasitoids confirmed (Juli Gould),juligould,dfg,0
Michigan,11,null,0,Research,dfn,"9/3/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,12,No,,Juli Gould,-83.25,43.49,No exotic EAB parasitoids confirmed (Juli Gould),juligould,dfn,0
Michigan,"1,953",null,0,Program,ForestFut,"8/26/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-86.6,45.91,No exotic EAB parasitoids found (Juli Gould),juligould,Forest of the Future,0
Michigan,"1,953",null,0,Program,ForestFut,"9/18/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-86.6,45.91,No exotic EAB parasitoids found (Juli Gould),juligould,Forest of the Future,0
Michigan,"3,017",null,0,Research,Gale,"8/26/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-88.46,47.2,No exotic EAB parasitoids found (Juli Gould),juligould,Gale,0
Michigan,"3,017",null,0,Research,Gale,"9/17/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-88.46,47.2,No exotic EAB parasitoids found (Juli Gould),juligould,Gale,0
Michigan,"3,017",null,0,Research,Gale,"10/31/2012, 8:00 PM",0,0,0,0,0,0,Egg Collection,1,No,,Andrew Storer,-88.46,47.2,null,juligould,Gale,0
Michigan,"1,902",null,0,Program,Gas Plant,"8/22/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-88.43,47.23,No exotic EAB parasitoids confirmed(Juli Gould),juligould,Gas Plant,0
Michigan,"1,902",null,0,Program,Gas Plant,"9/17/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-88.43,47.23,No exotic EAB parasitoids found (Juli Gould),juligould,Gas Plant,0
Michigan,23,null,0,Research,GSE,"2/22/2010, 7:00 PM",0,0,0,0,0,0,Tree Debarking,4,No,,Juli Gould,-84.37,43.22,null,juligould,GSE,0
Michigan,23,null,0,Research,GSE,"2/22/2010, 7:00 PM",0,0,0,0,0,0,Bark in Tubes,12,No,,Leah Bauer,-84.37,43.22,null,juligould,GSE,0
Michigan,23,null,0,Research,GSE,"8/21/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,14,No,,Juli Gould,-84.37,43.22,No exotic EAB parasitoids confirmed (Juli Gould),juligould,GSE,0
Michigan,23,null,0,Research,GSE,"9/19/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,Juli Gould,-84.37,43.22,No exotic EAB parasitoids confirmed (Juli Gould),juligould,GSE,0
Michigan,25,null,0,Research,GSW,"1/12/2009, 7:00 PM",0,0,0,0,0,0,Tree Debarking,4,No,,Juli Gould,-84.45,43.23,null,juligould,GSW,0
Michigan,25,null,0,Research,GSW,"8/16/2011, 8:00 PM",0,0,0,0,0,4,Yellow Pan Traps,12,No,,Juli Gould,-84.45,43.23,Atanycolus confirmed (Juli Gould),juligould,GSW,0
Michigan,25,null,0,Research,GSW,"8/21/2011, 8:00 PM",0,0,0,0,0,1,Yellow Pan Traps,13,Yes,,Juli Gould,-84.45,43.23,Atanycolus confirmed (Juli Gould),juligould,GSW,0
Michigan,25,null,0,Research,GSW,"8/28/2011, 8:00 PM",0,0,0,0,0,7,Yellow Pan Traps,13,No,,Juli Gould,-84.45,43.23,Atanycolus confirmed (Juli Gould),juligould,GSW,0
Michigan,25,null,0,Research,GSW,"9/5/2011, 8:00 PM",0,0,0,0,0,1,Yellow Pan Traps,11,No,,Juli Gould,-84.45,43.23,Atanycolus confirmed (Juli Gould),juligould,GSW,0
Michigan,26,,0,Research,GSW_C,"5/15/2013, 8:00 PM",0,0,0,0,0,0,Bark in Tubes,10,Yes,,Kris Abell,-84.45,43.21,No Oobius present (Juli Gould),juligould,GSW_C,0
Michigan,"1,770",null,0,Research,LPRFLT,"7/11/2010, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,10,No,,Jason Hansen,-84.38,42.7,null,juligould,LPRFLT,0
Michigan,"1,770",null,0,Research,LPRFLT,"7/22/2010, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,10,No,,Jason Hansen,-84.38,42.7,null,juligould,LPRFLT,0
Michigan,"1,770",null,0,,LPRFLT,"7/29/2010, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,10,No,,Jason Hansen,-84.38,42.7,null,juligould,,0
Michigan,19,,0,Research,asr,"8/22/2011, 8:00 PM",0,0,0,0,0,1,Yellow Pan Traps,15,No,,,-84.41,43.72,Atanycolus confirmed (Juli Gould),juligould,AS_R,0
Michigan,19,,0,Research,asr,"9/21/2011, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,15,No,,,-84.41,43.72,No exotic EAB parasitoids confirmed (Juli Gould),juligould,AS_R,0
Michigan,33,null,0,Research,IOG,"9/4/2012, 8:00 PM",0,0,0,0,0,15,Yellow Pan Traps,12,No,,,-85.12,42.96,Atanycolus confirmed (Juli Gould),juligould,IOG,0
Michigan,33,null,0,Research,IOG,"9/9/2012, 8:00 PM",0,0,0,0,0,11,Yellow Pan Traps,13,No,,,-85.12,42.96,Atanycolus confirmed (Juli Gould),juligould,IOG,0
Michigan,32,,0,Research,ION,"9/4/2012, 8:00 PM",0,0,0,0,0,0,Yellow Pan Traps,12,No,,,-85.12,42.96,No exotic EAB parasitoids confirmed (Juli Gould),juligould,ION,0
Michigan,32,,0,Research,ION,"9/9/2012, 8:00 PM",0,0,0,0,0,2,Yellow Pan Traps,12,No,,,-85.12,42.96,Atanycolus confirmed (Juli Gould),juligould,ION,0
