STATE,SITE_ID,COMMENTS,CONTROL,ORIGIN,TRAP_NUMBER,DATE_TRAP_SAMPLED,NUMBER_S.AGRILI_INDIVIDUALS,NUMBER_T.PLANIPENNISI_INDIVIDUALS,NUMBER_O.AGRILI,NUMBER_OF_S.AGRILI_CLUTCHES,NUMBER_OF_T.PLANIPENNISI_CLUTCHES,NUMBER_OF_ATANYCHOLUS,SAMPLE METHOD,NUMBER OF SAMPLES,POSSIBLE_EAB_PARASITOID_RECOVERED,DATE_SAMPLE_SHIPPED,SAMPLE_SHIPPED_TO,POINT_X,POINT_Y,COMMENTS_LAB,USER_ID,SITE_NAME,NUMBER_S.GALINAE_CLUTCHES
Michigan,"1,802",MSU Tree Research Center recovery by Deb McCullough during dissection of ash trees for a different study.,,,TRC,"9/5/2010, 8:00 PM",0,30,0,0,1,0,Tree Debarking,30,Yes,,Leah Bauer,-84.46,42.68,Tetrastichus planipennisi individual count an estimate. D. McCullough ID,lsbauer,MSUTRC,0
Michigan,"1,796","Reared from adults rearing logs cut near Round Lake, MI (Lelito)",,,RoundLake,"6/6/2010, 8:00 PM",0,30,0,0,1,0,Logs in Tubes,0,Yes,,Jonathan Lelito,-84.45,42.88,Jon Lelito made recovery and confirmed ID.,lsbauer,SLHSP,0
Michigan,"2,134",Jonathan Lelito,,,IsLake,"6/13/2010, 8:00 PM",0,30,0,0,1,0,Logs in Tubes,0,Yes,,,-83.66,42.51,Jon Lelito confirmed ID.,lsbauer,IsLakeB,0
Michigan,"2,103",Deb McCullough & Andrew Tluczek provided this data collected from their ongoing EAB studies.,,,Jasper,"1/12/2014, 7:00 PM",0,0,0,0,10,0,Tree Debarking,0,Yes,"1/12/2014, 7:00 PM",Deb McCullough,-84.56,43.54,T. planipennisi ID D.McCullough. Individuals not counted,lsbauer,JA,0
Michigan,"1,773",Adults are from 2011 diapausing cohort emerging spring 2012,,,BFR1,"5/22/2012, 8:00 PM",0,0,7,0,0,0,Bark in Tubes,2,Yes,,"Kristopher Abell, Leah Bauer",-84.6,42.59,Adults were reared from 2-10x100cm outer-bark sample from W&S sides lower trunk of live 16.9cmDBH green ash tree: 4 emerged from W & 3 from S,lsbauer,BFPKLT,0
Michigan,"1,773",Adult is from 2011 diapausing cohort emerging spring 2012,,,BFR2,"5/22/2012, 8:00 PM",0,0,1,0,0,0,Bark in Tubes,1,Yes,,"Kristopher Abell, Leah Bauer",-84.6,42.59,Adult emerged from 1-10x100cm outer bark sample from west lower trunk live 11.2cmDBH green ash tree,lsbauer,BFPKLT,0
Michigan,"1,798",Adult is from 2011 diapausing cohort emerging spring 2012,,,BFC1,"5/23/2012, 8:00 PM",0,0,1,0,0,0,Bark in Tubes,1,Yes,,"Kristopher Abell, Leah Bauer",-84.6,42.59,Adult emerged from 1-10x100cm outer-bark sample from west lower trunk live 13cmDBH green ash tree,lsbauer,BFPKLT_C,0
Michigan,"1,769",Adult is from 2011 diapausing cohort emerging spring 2012,,,CPR2,"5/16/2012, 8:00 PM",0,0,1,0,0,0,Bark in Tubes,1,Yes,,"Kristopher Abell, Leah Bauer",-84.42,42.73,Adult emerged from 1-10x100cm outer-bark sample from west lower trunk live 19.3cmDBH green ash tree,lsbauer,CPNMLT,0
Michigan,"1,769",Adults from 2011 diapausing cohort emerging spring 2012,,,CPR3,"5/16/2012, 8:00 PM",0,0,2,0,0,0,Bark in Tubes,1,Yes,,"Kristopher Abell, Leah Bauer",-84.42,42.73,Adults emerged from 2-10x100cm outer-bark sample from W&S lower trunk live 11.2cmDBH green ash tree,lsbauer,CPNMLT,0
Michigan,26,Adult is from 2011 diapausing cohort emerging spring 2012,,,GSWC1,"5/21/2012, 8:00 PM",0,0,1,0,0,0,Bark in Tubes,1,Yes,,"Kristopher Abell, Leah Bauer",-84.45,43.21,Adult emerged from 1-10x100cm outer-bark sample from west lower trunk live 20.8cmDBH green ash tree,lsbauer,GSW_C,0
Michigan,25,Adult is from 2011 diapausing cohort emerging spring 2012,,,GSWR1,"5/21/2012, 8:00 PM",0,0,2,0,0,0,Bark in Tubes,1,Yes,,"Kristopher Abell, Leah Bauer",-84.45,43.23,Adult emerged from 1-10x100cm outer-bark sample from west lower trunk live 16.2cmDBH green ash tree,lsbauer,GSW,0
Michigan,25,Adult is from 2011 diapausing cohort emerging spring 2012,,,GSWR2,"5/21/2012, 8:00 PM",0,0,1,0,0,0,Bark in Tubes,1,Yes,,"Kristopher Abell, Leah Bauer",-84.45,43.23,Adult emerged from 1-10x100cm outer-bark sample from south lower trunk live 13.2cmDBH green ash tree,lsbauer,GSW,0
Pennsylvania,"1,451",,,,Deer Lakes,"6/4/2012, 8:00 PM",0,0,8,0,0,0,Tree Debarking,3,Yes,,,-79.81,40.62,,PArelease11,Deer Lakes,0
Pennsylvania,"1,453",,,,North Park,"5/8/2012, 8:00 PM",6,0,0,1,0,0,Tree Debarking,4,Yes,,,-80.03,40.62,,PArelease11,North Park,0
Tennessee,"2,045",,,,RR10,"8/11/2013, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,1,Yes,"10/29/2013, 8:00 PM",Jon Lelito and Julie Gould,-83.44,36.47,,utipmlab,Rowe Road,0
Wisconsin,"1,480","Location is approximate, entered by Bill McNee, WI DNR on 9/24/2014",,,B3,"7/28/2013, 8:00 PM",0,24,0,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-88.03,43.44,"Insect identities confirmed by Juli Gould in email to Todd Johnson, U of WI",billmcnee,River Edge Nature Center,0
Wisconsin,"1,480","Location is approximate. Data entered by Bill McNee, WI DNR, 9/24/2014",,,B3,"8/11/2013, 8:00 PM",0,4,0,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-88.03,43.44,"Identification confirmed by Juli Gould in email to Todd Johson, U of WI, 11/6/2013",billmcnee,River Edge Nature Center,0
Wisconsin,"1,480","Location is approximate. Data entered by Bill McNee, WI DNR, 9/24/2014.",,,B9,"8/8/2013, 8:00 PM",0,9,0,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-88.03,43.44,"Identities confirmed by Juli Gould in email to Todd Johnson, U of WI, 11/6/2013",billmcnee,River Edge Nature Center,0
Wisconsin,"1,480","Location is approximate. Data entered by Bill McNee, WI DNR, 9/24/2014.",,,B9,"8/11/2013, 8:00 PM",0,3,0,0,0,0,Yellow Pan Traps,0,Yes,,Juli Gould,-88.03,43.44,"Identity confirmed by Juli Gould in email to Todd Johnson, U of WI, Nov 6, 2013.",billmcnee,River Edge Nature Center,0
Maryland,"1,840","Dr. Jian Duan and crew peeled trees at Cheltenham warehouse. No host remained, larvae collected - 41 females, 11 males T. planipennisi emerged",,,SouthHill,"2/26/2013, 7:00 PM",0,52,0,0,2,0,Tree Debarking,2,Yes,,Jian Duan,-76.9,38.71,,beanra,South Hill,0
Maryland,"1,835","Dr. Jian Duan and crew peeled trees at Cheltenham warehouse. 1 L4 infested. Pupae - 56 females, 12 males T. planipennisi emerged",,,Kirby 1,"4/14/2013, 8:00 PM",0,68,0,0,1,0,Tree Debarking,2,Yes,,Jian Duan,-76.91,38.78,,beanra,Kirby 1,0
Maryland,"1,840","Dr. Jian Duan and crew peeled trees at Cheltenham warehouse. 36 females, 6 males T. planipennisi, walking out of pupal chamber",,,Ducket Rd,"4/28/2013, 8:00 PM",0,42,0,0,1,0,Tree Debarking,2,Yes,,Jian Duan,-76.91,38.7,null,beanra,South Hill,0
Minnesota,"1,817","what looks to be about 22 adult Tetrastichus planipennisi were found inside an EAB gallery in a 12"" dbh green ash tree. https://plus.google.com/photos/110288044640879329565/albums/6085684764818781409?authkey=CPfqgOmh9pLFgAE",0,,250W,"11/12/2014, 7:00 PM",0,0,0,0,1,0,Tree Debarking,70,Yes,,,-91.38,43.93,Tetrastichus planipennisi,josthus,Great River Bluffs 1,0
Minnesota,"1,818",More likely adult tets were found in an EAB gallery from a branch sample at a seperate site inside of Great River Bluffs State Park. https://plus.google.com/photos/110288044640879329565/albums/6085684764818781409?authkey=CPfqgOmh9pLFgAE,0,,204W,"11/19/2014, 7:00 PM",0,0,0,0,1,0,Tree Debarking,70,Yes,,,-91.41,43.95,Tetrastichus planipennisi,josthus,Great River Bluffs 2,0
Minnesota,"1,818",A Clutch of what looks to be Tetrastichus planipennisi was found in an EAB gallery in a green ash at Great River Bluffs State Park. 57 larvae were found in the gallery. Tets were reared and shipped to parasitoid rearing facility on 12/29/14,0,,177W.B,"12/8/2014, 7:00 PM",0,0,0,0,1,0,Tree Debarking,70,Yes,,,-91.41,43.95,Tetrastichus planipennisi,josthus,Great River Bluffs 2,0
Minnesota,"1,818",a clutch of what looks to be T. planipennisi was found in a branch sample from a green ash in which T. planipennisi was detected last year in a separate branch sample. 11 larvae were recovered from the gallery.,0,,176W.A,"12/11/2014, 7:00 PM",0,0,0,0,1,0,Tree Debarking,70,Yes,,,-91.41,43.95,Tetrastichus planipennisi,josthus,Great River Bluffs 2,0
Minnesota,"1,818",What look to be tets were found in a larva that was dissected after being collected while branch sampling at Great River Bluffs State Park. 28 larvae were recovered from inside the L4 EAB larva,0,,LD121814J,"11/24/2014, 7:00 PM",0,0,0,0,1,0,Tree Debarking,1,Yes,,,-91.41,43.95,Tetrastichus planipennisi,josthus,Great River Bluffs 2,0
Minnesota,"1,818",6 release trees from GRBSP2 had bark samples taken from the south side of the tree. 33 EAB eggs were recovered using the bark sifting method. Samples will be shipped for confirmation of any parasitism. 10x50cm area of bark taken for each tree sampled.,0,Program,GRBSP2,"10/28/2014, 8:00 PM",0,0,1,0,0,0,Bark Sifting,6,Yes,"2/10/2015, 7:00 PM",Leah Bauer,-91.41,43.94,3 eggs confirmed parasitized out of 33 eggs recovered from 6 samples.,josthus,Great River Bluffs State Park 2,0
Minnesota,"2,474",Images of possible parasitism of EAB egg sent to Leah Bauer and Debbie Miller. 2 eggs from one tree at site appear to be parasitized. samples from 4 other trees continue to be processed. 10x50cm area of bark taken for each tree sampled.,0,Program,Ft.N2,"2/24/2015, 7:00 PM",0,0,2,0,0,0,Bark Sifting,5,Yes,,,-93.19,44.89,2 parasitized eggs confirmed out of 4 eggs recovered from 5 samples.,josthus,Fort Snelling Hillside Hwy 5,0
Minnesota,"1,818",Pictures taken of black egg with injured/destroyed larvae or pupa inside. Pics can be seen at - https://plus.google.com/photos/110288044640879329565/albums/6145398011090253153?banner=pwa 10x50cm area of bark taken for each tree sampled.,0,Program,GRBSP2.2B,"4/22/2015, 8:00 PM",0,0,1,0,0,0,Bark Sifting,4,Yes,,,-91.41,43.94,one parasitized egg confirmed out of 53 eggs recovered from 4 samples.,josthus,Great River Bluffs State Park 2,0
,"2,514",,0,Research,Brooke Ln,"10/22/2014, 8:00 PM",0,40,0,0,0,0,Logs in Tubes,71,Yes,"4/28/2016, 8:00 PM",J. Gould,-81.85,42.84,,gcjones,Brooke Line,0
,"2,512",,0,Program,Ausable,"10/21/2014, 8:00 PM",0,496,0,0,0,0,Logs in Tubes,117,Yes,,,-81.54,43.38,,gcjones,Ausable Line,0
Pennsylvania,"2,557",Tionesta Lake and DAM COE,0,,1221,"8/12/2015, 8:00 PM",0,0,1,0,0,0,Yellow Pan Traps,1,Yes,"8/20/2015, 8:00 PM",Juli Gould,-79.44,41.48,O. agrili confirmed by Jason Mottern of the Smithsonian.,rturcotte,,0
Michigan,,Deb McCullough identified the insects as T. planipennisi,0,,JAAuSab1,"7/14/2014, 8:00 PM",0,0,0,0,1,0,Tree Debarking,22,Yes,,,-84.56,43.54,Deb McCullough identified the insects as T. planipennisi,juligould,,0
Michigan,,Parasitoids identified by Deb McCullough as Tetrastichus planipennisi,0,,TRCMSU1,"7/14/2013, 8:00 PM",0,0,0,0,30,0,Tree Debarking,59,Yes,,,-84.46,42.68,Parasitoids identified by Deb McCullough as Tetrastichus planipennisi,juligould,,0
Michigan,,Tetrastichus planipennisi recovered. The number were not counted.,0,,MRWEST1,"7/14/2013, 8:00 PM",0,1,0,0,0,0,Logs in Tubes,12,Yes,,,-84.87,43.03,Tetrastichus planipennisi ID confirmed by D. McCullough,juligould,,0
Michigan,,Deb McCullough identified the Tetrastichus planipennisi,0,,Ionia2,"7/14/2012, 8:00 PM",0,0,0,0,6,0,Tree Debarking,15,Yes,,,-85.12,42.96,,juligould,,0
Michigan,,Tetrastichus planipennisi identified by Deb McCullough,0,,MapleR4,"7/14/2012, 8:00 PM",0,0,0,0,90,0,Tree Debarking,25,Yes,"7/14/2012, 8:00 PM",,-84.5,43.15,,juligould,,0
Michigan,,Tetrastichus planipennisi identified by Deb McCullough,0,,MapleR3,"7/14/2012, 8:00 PM",0,0,0,0,10,0,Tree Debarking,15,Yes,,,-84.54,43.15,,juligould,,0
Michigan,,Tetrastichus planipennisi identified by Deb McCullough.,0,,TRCMSU4,"7/14/2012, 8:00 PM",0,0,0,0,8,0,Tree Debarking,18,Yes,,,-84.46,42.68,,juligould,,0
Michigan,,Tetrastichus planipennisi identified by Deb McCullough.,0,,PortSGA2,"7/14/2012, 8:00 PM",0,0,0,0,1,0,Tree Debarking,20,Yes,,,-84.93,42.81,,juligould,,0
Michigan,,,0,,MSUTRC,"7/14/2010, 8:00 PM",0,0,0,0,8,0,Tree Debarking,86,Yes,,,-84.46,42.68,Tetrastichus planipennisi identified by D. McCullough.,juligould,,0
Michigan,,Adult Tetrastichus planipennisi identified by Jon Lelito,0,,Alma20,"2/24/2013, 7:00 PM",0,24,0,0,0,0,Logs in Tubes,1,Yes,,,-84.74,43.36,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito,0,,Alma21,"2/14/2013, 7:00 PM",0,7,0,0,0,0,Logs in Tubes,1,Yes,,,-84.76,43.36,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,Alma19,"3/5/2013, 7:00 PM",0,30,0,0,0,0,Logs in Tubes,1,Yes,,,-84.74,43.36,,juligould,,0
Michigan,,Tetarstichus planipennisi adults identified by Jon Lelito.,0,,Alma18,"9/16/2013, 8:00 PM",0,25,0,0,0,0,Logs in Tubes,1,Yes,,,-84.76,43.36,,juligould,,0
Michigan,,Tetarastichus planipennisi adults identified by Jon Lelito.,0,,Alma17,"9/17/2013, 8:00 PM",0,2,0,0,0,0,Logs in Tubes,1,Yes,,,-84.76,43.36,,juligould,,0
Michigan,,Tetarstichus planipennisi adults identified by Jon Lelito,0,,Alma16,"9/24/2013, 8:00 PM",0,5,0,0,0,0,Logs in Tubes,1,Yes,,,-84.76,43.36,,juligould,,0
Michigan,,Tetarstichus planipennisi adults identified by Jon Lelito.,0,,Alma13,"10/1/2013, 8:00 PM",0,17,0,0,0,0,Logs in Tubes,1,Yes,,,-84.76,43.36,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito,0,,Alma15,"9/26/2013, 8:00 PM",0,11,0,0,0,0,Logs in Tubes,1,Yes,,,-84.76,43.36,,juligould,,0
Michigan,,Tetarstichus planipennisi adults identified by Jon Lelito.,0,,Alma14,"9/29/2013, 8:00 PM",0,2,0,0,,0,Logs in Tubes,1,Yes,,,-84.76,43.36,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,SagBay3,"11/30/2013, 7:00 PM",0,4,0,0,0,0,Logs in Tubes,1,Yes,,,-84,43.84,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito,0,,Alma11,"12/19/2013, 7:00 PM",0,11,0,0,0,0,Logs in Tubes,1,Yes,,,-84.74,43.35,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,Charlot3,"11/30/2011, 7:00 PM",0,123,0,0,0,0,Logs in Tubes,1,Yes,,,-84.84,42.52,T. planipennisi adult ID J. Lelito,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito,0,,Alma12,"12/9/2013, 7:00 PM",0,19,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-84.66,43.38,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,WhitmLk2,"10/31/2011, 8:00 PM",0,41,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-83.7,42.44,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,IsLake2,"12/4/2011, 7:00 PM",0,32,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-83.71,42.5,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,IsLake3,"12/4/2011, 7:00 PM",0,32,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-83.71,42.5,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito,0,,IsLake4,"11/28/2011, 7:00 PM",0,22,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-83.71,42.5,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,Bellevu2,"5/21/2012, 8:00 PM",0,70,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-85.01,42.51,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,Bright2,"9/5/2012, 8:00 PM",0,52,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-83.83,42.5,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,FarmH2,"9/26/2013, 8:00 PM",0,32,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-83.38,42.49,,juligould,,0
Michigan,,Tetrastichus planipennisi adults identified by Jon Lelito.,0,,SagBay2,"12/3/2013, 7:00 PM",0,19,0,0,0,0,Logs in Tubes,1,Yes,,Jon Lelito,-84.02,43.76,,juligould,,0
Minnesota,"1,817",9 clutches of Tets were recovered from green ash trees at this location. Site is part of study that branch samples 35 trees (2 branches)and debarks 2 whole trees.,0,Program,KV5,"11/3/2015, 7:00 PM",0,0,0,0,9,0,Tree Debarking,80,Yes,,,-91.38,43.93,Tetrastichus planipennisi,josthus,Great River Bluffs State Park 1,0
Minnesota,,20 clutches of Tets were recovered from green ash trees at this location. Site is part of study that branch samples 35 trees (2 branches) and debarks 2 whole trees.,0,Program,631W.A,"11/3/2015, 7:00 PM",0,0,0,0,20,0,Tree Debarking,80,Yes,,,-91.41,43.95,Tetrastichus planipennisi,josthus,Great River Bluffs State Park 1,0
Connecticut,"2,258",We did partial debarking of 4 trees. Tets were found in smallest tree. 2 broods and adults.,0,Program,CTM01,"10/5/2015, 8:00 PM",0,0,0,0,2,0,Tree Debarking,4,Yes,"11/29/2015, 7:00 PM",Dr. Juli Gould APHIS PPQ,-73.1,41.53,Confirmed Tetrastichus planipennisi. 2 Females 1 male.,crutledge,Wittemore Rd Middlebury,0
Connecticut,"2,258","We partially debarked one larger tree, completely debarked tree in which we found tets. CC of tree was 2 lightly infested",0,Program,CTM02,"10/14/2015, 8:00 PM",0,0,0,0,1,0,Tree Debarking,2,Yes,"11/29/2015, 7:00 PM",,-73.08,41.52,"Tetrastichus larvae found, no adults for ID.",crutledge,Wittemore Rd Middlebury,0
Connecticut,,"Partly debarked a small 3 trunk tree. Saw and collected adults, saw and photographed larvae",0,,CTP03,"10/6/2015, 8:00 PM",0,0,0,0,1,0,Tree Debarking,1,Yes,"11/29/2015, 7:00 PM",Dr. Juli Gould APHIS PPQ,-72.98,41.5,Tetrastichus planipennisi confirmed. 2 Female T. planipennisi.,crutledge,,0
Connecticut,"2,256","Debarked upper branches of recently felled tree. Found brood with pupae, emerged in lab",0,Program,CTB01,"10/19/2015, 8:00 PM",0,0,0,0,1,0,Tree Debarking,1,Yes,"11/29/2015, 7:00 PM",Dr. Juli Gould USDA APHIS,-73.01,41.45,Tetrastichus planipennisi confirmed. 3 Females 1 Male.,crutledge,straitsville prospect,0
Michigan,,"30-min visual egg search per tree. Data for Tree #2, 12.8-cm DBH",0,Research,BFCV2,"4/15/2013, 8:00 PM",0,0,9,0,0,0,Egg Collection,33,Yes,,Leah Bauer,-84.6,42.59,,lsbauer,BFPKLT_C,0
Michigan,,"sample from Tree#3, 10.5-cm DBH",0,Research,BFCV3,"4/15/2013, 8:00 PM",0,0,2,0,0,0,Egg Collection,12,Yes,,Leah Bauer,-84.6,42.59,,lsbauer,BFPKLT_C,0
Michigan,,"samples from tree#4, 10.4-cm DBH",0,Research,BFCV4,"4/15/2013, 8:00 PM",0,0,5,0,0,0,Egg Collection,10,Yes,,Leah Bauer,-84.6,42.59,,lsbauer,BFPKLT_C,0
Michigan,,"eggs from tree#5, 15-cm DBH",0,,BFCV5,"4/15/2013, 8:00 PM",0,0,1,0,0,0,Egg Collection,3,Yes,,Leah Bauer,-84.6,42.35,,lsbauer,,0
Michigan,,"Visual egg samples taken from Tree#4, 10.6-cm DBH",0,Research,BFRV4,"4/16/2013, 8:00 PM",0,0,1,0,0,0,Egg Collection,4,Yes,,Leah Bauer,-84.6,42.59,,lsbauer,BFPKLT,0
Michigan,,"sample from tree#5, 11.2-cm DBH",0,Research,BFRV5,"4/16/2013, 8:00 PM",0,0,1,0,0,0,Egg Collection,11,Yes,,Leah Bauer,-84.59,42.59,,lsbauer,BFPKLT,0
Michigan,,"sample from tree#6, 16.8-cm DBH",0,Research,BFVR6,"4/16/2013, 8:00 PM",0,0,1,0,0,0,Egg Collection,5,Yes,,Leah Bauer,-84.6,42.59,,lsbauer,BFPKLT,0
Michigan,,sample from tree#10. 11.2-cm DBH,0,Research,BFRV10,"4/16/2013, 8:00 PM",0,0,3,0,0,0,Egg Collection,9,Yes,,Leah Bauer,-84.6,42.59,,lsbauer,BFPKLT,0
Michigan,"1,769","sample tree#9, 11.4 cm DBH",0,,CPRV9,"4/16/2013, 8:00 PM",0,0,1,0,0,0,Egg Collection,4,Yes,,Leah Bauer,-84.42,42.73,,lsbauer,,0
Michigan,25,"sample tree#5, 10.2 cm DBH",0,Research,GSWRV5,"4/23/2013, 8:00 PM",0,0,1,0,0,0,Egg Collection,20,Yes,,Leah Bauer,-84.27,43.14,,lsbauer,GSW,0
Michigan,25,"sample tree#6, 8.8 cm DBH",0,Research,GSWRV6,"4/23/2013, 8:00 PM",0,0,2,0,0,0,Egg Collection,13,Yes,,Leah Bauer,-84.27,43.2,,lsbauer,GSW,0
Michigan,25,"sample tree#7, 10.2 cm DBH",0,Research,GSWRV7,"4/23/2013, 8:00 PM",0,0,3,0,0,0,Egg Collection,11,Yes,,Leah Bauer,-84.27,43.14,,lsbauer,GSW,0
Michigan,"1,770","sample tree#4 tag#1717, 20.5 cm DBH",0,Research,LPRV4,"4/8/2013, 8:00 PM",0,0,1,0,0,0,Egg Collection,1,Yes,,Leah Bauer,-84.38,42.7,Oobius ID confirmed by L.Bauer,lsbauer,LPRFLT,0
Michigan,"1,770","sample tree#7 tag#1725, 14.0 cm DBH",0,Research,LPRV7,"4/8/2013, 8:00 PM",0,0,2,0,0,0,Egg Collection,4,Yes,,Leah Bauer,-84.38,42.7,Oobius ID confirmed by L.Bauer,lsbauer,LPRFLT,0
Michigan,54,"sample tree#1, 13.6 cm DBH",0,,MRERV1,"4/21/2013, 8:00 PM",0,0,2,0,0,0,Egg Collection,5,Yes,,Leah Bauer,-84.54,43.14,,lsbauer,,0
Michigan,,"EAB eggs from sieved/sorted bark sample 50x100cm, from 22.2 cm DBH ash tree",0,,RLCB9832,"6/11/2014, 8:00 PM",0,0,2,0,0,0,Bark Sifting,7,Yes,,Leah Bauer,-84.34,42.82,,lsbauer,,0
